[2026-03-29T13:42:50.517Z] GET https://help.onekey.so/en/collections/18871692-onekey-perps → 200 (854ms, ?B)
[2026-03-29T13:45:00.808Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791891985&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938465~115938468~117266402~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988593-trading-fee-explanation&dt=Trading%20Fee%20Explanation%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=8803&tfd=9380 → pending (?ms, ?B)
[2026-03-29T13:45:00.811Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:45:00.811Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:45:00.811Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:45:00.811Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (1ms, 140218B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (?ms, 16700B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:45:00.812Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (1ms, 14060B)
[2026-03-29T13:45:00.813Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:45:00.813Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:45:00.813Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:45:00.813Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (?ms, 77B)
[2026-03-29T13:45:00.813Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:45:00.813Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2140101079/c01aded88e2cfd02db4ef3ffde3b/CleanShot+2026-03-08+at+14_52_33.png?expires=1774793700&signature=3d7ee74eb0f3a5ff3d9ce280f70f2f5d61bde5fce307ef680392d77a670ee6fc&req=diEjFsh%2BnIFYUPMW1HO4zffJgN8Hj7%2BJB%2Fs6xyR48igtSFNpVKqjNajKJFo7%0AITn3%0A → 200 (365ms, 938789B)
[2026-03-29T13:45:00.813Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139843832/eab637b7fdc42754cb706938d676/image.png?expires=1774793700&signature=bbf853e44707be980c4cdcc88b5d462e41a87454d1afd2f7590b32f04c246c1c&req=diEkH8F6nolcW%2FMW1HO4zc%2BYqQ21rjhd28qiT6YkyFIk4z4Au5nkitlql%2F6v%0Agd2FssGGISCU1p7X2DE%3D%0A → 200 (289ms, 704477B)
[2026-03-29T13:45:00.814Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:45:00.814Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (1ms, 1715B)
[2026-03-29T13:45:00.815Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:45:00.817Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (?ms, 756550B)
[2026-03-29T13:45:00.846Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:45:01.242Z] GET https://widget.intercom.io/widget/vbbj4ssb → 200 (?ms, 7614B)
[2026-03-29T13:45:05.862Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791900844&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115616986~115938465~115938469~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988742-completing-an-open-position-operation&dt=Completing%20an%20Open%20Position%20Operation%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5544 → 204 (88ms, ?B)
[2026-03-29T13:45:08.821Z] GET https://help.onekey.so/en/articles/13988753-viewing-positions-and-closing-positions → 200 (457ms, 91726B)
[2026-03-29T13:45:09.285Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791900844&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115616986~115938465~115938469~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988742-completing-an-open-position-operation&dt=Completing%20an%20Open%20Position%20Operation%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=8420&tfd=8967 → pending (?ms, ?B)
[2026-03-29T13:45:09.287Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:45:09.288Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:45:09.288Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:45:09.288Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:45:09.288Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:45:09.289Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:45:09.289Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:45:09.290Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:45:09.290Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (?ms, 16700B)
[2026-03-29T13:45:09.291Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:45:09.291Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (?ms, 14060B)
[2026-03-29T13:45:09.291Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:45:09.291Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:45:09.291Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:45:09.291Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (1ms, 77B)
[2026-03-29T13:45:09.292Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:45:09.292Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139849263/adf927b37bf91d0e72b4e5df61a9/image.png?expires=1774793700&signature=dc34f4d767fd49577aa9805e81238613ad51193c1513d5d09345a0bb10aad000&req=diEkH8F6lINZWvMW1HO4zTik8fcClx8i5Q02CgT95N16z0Qikh8ttNeurHtE%0A58PM%0A → pending (?ms, ?B)
[2026-03-29T13:45:09.292Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139849804/c12bb45af2d1d6f79952a7d3cbf8/image.png?expires=1774793700&signature=b291beec2e512482d0a6a15d8c8e0c489d9bb292d6bcc5ddee9d84c509657850&req=diEkH8F6lIlfXfMW1HO4zRnCmA%2By2za2uwKG9wxgcgukwij5ptrdmtMcbf5w%0AG7u79BaLZlOjEyrhE4E%3D%0A → pending (?ms, ?B)
[2026-03-29T13:45:09.292Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139854203/320426e72f9c8c32bd0f8a17dfb9/CleanShot+2026-03-08+at+11_34_48.png?expires=1774793700&signature=49e6f908576ce02e30a9a024b79b0b99028b37c097e5d47738a80b0648e07aff&req=diEkH8F7mYNfWvMW1HO4zdpIFgXBAUK%2Byjtp1djNayYNIU8uxO7vaPEDF6kU%0AQR6iS4VkKe8tVirOUCY%3D%0A → pending (?ms, ?B)
[2026-03-29T13:45:09.292Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139854759/fc78af99843bda3c84612034dade/image.png?expires=1774793700&signature=7e7c38f18169bdf6b4acca0e0ace7522b6202fba435117cdce3c25b7e437ea4f&req=diEkH8F7mYZaUPMW1HO4zZxjehKSu8o5DDXahlibtP75GBq22lbUNOcTIkDm%0A%2FQIn2WrUAqllEcyKfkw%3D%0A → pending (?ms, ?B)
[2026-03-29T13:45:09.292Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:45:09.292Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (?ms, 1715B)
[2026-03-29T13:45:09.292Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:45:09.304Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (1ms, 756550B)
[2026-03-29T13:45:09.322Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:45:09.810Z] GET https://widget.intercom.io/widget/vbbj4ssb → 200 (?ms, 7614B)
[2026-03-29T13:45:14.336Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791909320&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115616986~115938466~115938469~116133314~117266400~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988753-viewing-positions-and-closing-positions&dt=Viewing%20Positions%20and%20Closing%20Positions%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5514 → 204 (84ms, ?B)
[2026-03-29T13:45:19.459Z] GET https://help.onekey.so/en/articles/13988790-basic-concepts-of-futures-trading → pending (?ms, ?B)
[2026-03-29T13:45:19.901Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791909320&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115616986~115938466~115938469~116133314~117266400~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988753-viewing-positions-and-closing-positions&dt=Viewing%20Positions%20and%20Closing%20Positions%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=10559&tfd=11075 → pending (?ms, ?B)
[2026-03-29T13:45:19.902Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:45:19.903Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (1ms, 16700B)
[2026-03-29T13:45:19.904Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:45:19.904Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (?ms, 14060B)
[2026-03-29T13:45:19.904Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:45:19.904Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:45:19.904Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:45:19.904Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (1ms, 77B)
[2026-03-29T13:45:19.905Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:45:19.905Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:45:19.905Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (?ms, 1715B)
[2026-03-29T13:45:19.906Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:45:19.910Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (?ms, 756550B)
[2026-03-29T13:45:19.944Z] GET https://widget.intercom.io/widget/vbbj4ssb → 304 (164ms, ?B)
[2026-03-29T13:45:19.944Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:45:24.959Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791919942&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115616985~115938465~115938468~116133312~117266400~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988790-basic-concepts-of-futures-trading&dt=Basic%20Concepts%20of%20Futures%20Trading%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5500 → 204 (82ms, ?B)
[2026-03-29T13:45:28.339Z] GET https://help.onekey.so/en/articles/13988794-historical-position-sharing → pending (?ms, ?B)
[2026-03-29T13:45:28.794Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791919942&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115616985~115938465~115938468~116133312~117266400~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988790-basic-concepts-of-futures-trading&dt=Basic%20Concepts%20of%20Futures%20Trading%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=8829&tfd=9333 → pending (?ms, ?B)
[2026-03-29T13:45:28.796Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:45:28.796Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:45:28.796Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (?ms, 16700B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:45:28.797Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (1ms, 14060B)
[2026-03-29T13:45:28.798Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:45:28.798Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:45:28.798Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:45:28.798Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (?ms, 77B)
[2026-03-29T13:45:28.798Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:45:28.798Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139867045/1f94b366b754f9d8b04b81ebe97c/image.png?expires=1774793700&signature=7cafeb09a0c3e5a6be998afbffdd1e094e6bbddeaf3637fb25654756ad1f843c&req=diEkH8F4moFbXPMW1HO4ze%2FpCG63FzCUjdvHzNo%2FkgEYtY%2B8KnFQThXflNLu%0AzEfNcx4EWEX1CvGJhGE%3D%0A → 200 (310ms, 822025B)
[2026-03-29T13:45:28.799Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:45:28.799Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (?ms, 1715B)
[2026-03-29T13:45:28.799Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:45:28.803Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (2ms, 756550B)
[2026-03-29T13:45:28.832Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:45:29.178Z] GET https://widget.intercom.io/widget/vbbj4ssb → 304 (87ms, ?B)
[2026-03-29T13:45:33.846Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791928831&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938466~115938468~116133313~117484252~117884344~118131808&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988794-historical-position-sharing&dt=Historical%20Position%20Sharing%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5506 → 204 (83ms, ?B)
[2026-03-29T13:45:38.117Z] GET https://help.onekey.so/en/articles/13990229-video-tutorials → 200 (385ms, 68732B)
[2026-03-29T13:45:38.506Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791928831&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938466~115938468~116133313~117484252~117884344~118131808&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988794-historical-position-sharing&dt=Historical%20Position%20Sharing%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=9659&tfd=10167 → pending (?ms, ?B)
[2026-03-29T13:45:38.508Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:45:38.508Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:45:38.508Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:45:38.508Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (1ms, 140218B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (?ms, 16700B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:45:38.509Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (?ms, 14060B)
[2026-03-29T13:45:38.510Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:45:38.510Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:45:38.510Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:45:38.510Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (?ms, 77B)
